Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude,Sigma
1972,12,20,21,33,16,-3.9829,23.8862,34.57,4.43,1.00
1972,12,22,14,34,3,-3.2124,25.5764,11.81,4.12,1.00
1972,12,23,19,43,42,-4.2311,21.6118,24.25,4.73,1.00
1972,12,25,14,46,35,-7.2481,27.9889,35.44,4.05,1.00
1972,12,29,18,32,30,-3.6506,23.1212,12.12,4.01,1.00
1972,12,30,6,51,59,-4.1904,21.2801,3.72,4.56,1.00
1972,12,31,16,23,1,-12.3976,28.3727,33.49,4.03,1.00
1973,1,5,15,23,13,-0.8465,22.4566,2.93,4.42,1.00
1973,1,5,20,37,34,-0.1807,20.5089,28.26,4.97,1.00
1973,1,9,7,24,34,-16.4004,20.2799,36.89,4.59,1.00
1973,1,12,6,0,24,-16.5703,27.6032,2.36,4.58,1.00
1973,1,13,7,24,35,-19.2163,26.2311,49.00,4.01,1.00
1973,1,13,21,50,26,-15.8770,29.1145,46.36,4.66,1.00
1973,1,17,14,22,10,-9.5826,24.1506,43.95,4.09,1.00
1973,1,18,1,18,51,-18.4928,21.5803,30.14,4.56,1.00
1973,1,19,23,49,18,-17.0591,25.0435,25.20,4.02,1.00
1973,1,20,23,5,5,-16.8061,28.5074,6.50,4.23,1.00
1973,1,22,1,26,48,-17.8339,29.4861,23.65,4.57,1.00
1973,1,22,6,22,45,-12.1651,24.7368,4.39,4.06,1.00
1973,1,22,11,5,27,-3.3813,24.7110,4.99,4.27,1.00
1973,1,23,3,40,10,-14.9976,28.5378,19.30,4.35,1.00
1973,1,26,20,39,20,-12.4591,20.5505,6.35,4.97,1.00
1973,1,27,19,54,30,-11.3473,22.0057,24.58,4.11,1.00
1973,1,29,7,4,4,-15.7716,22.2886,45.29,4.57,1.00
1973,2,2,15,42,40,-11.8765,29.0381,19.18,4.01,1.00
1973,2,4,4,36,41,-11.2121,24.6562,30.71,4.42,1.00
1973,2,5,10,2,17,-3.8409,23.2044,0.02,4.20,1.00
1973,2,6,20,46,6,-15.5594,22.9786,18.20,4.28,1.00
1973,2,7,4,50,28,-6.0762,26.3842,23.92,4.30,1.00
1973,2,11,16,44,45,-1.1057,20.7483,8.84,4.24,1.00
1973,2,14,0,3,31,-14.0616,29.5069,26.44,4.89,1.00
1973,2,14,15,57,2,-14.4820,22.1461,31.83,5.98,1.00
1973,2,17,12,1,52,-5.6631,23.7389,25.93,4.09,1.00
1973,2,20,2,48,52,-19.9812,25.8214,20.11,4.01,1.00
1973,2,20,3,45,7,-10.3586,27.3369,10.02,4.18,1.00
1973,2,21,10,46,44,-7.6932,26.6449,15.60,4.32,1.00
1973,2,25,3,6,14,-19.1439,23.1574,48.13,4.17,1.00
1973,2,25,3,11,55,-14.8924,24.1038,44.05,4.68,1.00
1973,2,28,18,8,35,-6.3822,21.4813,34.84,4.18,1.00
1973,3,8,12,33,15,-10.1996,20.4809,16.65,4.60,1.00
1973,3,14,16,46,43,-10.0874,29.3703,46.15,5.23,1.00
1973,3,14,22,24,27,-5.4491,23.9168,37.95,4.04,1.00
1973,3,19,0,43,14,-8.0982,25.8916,18.63,4.27,1.00
1973,3,20,18,53,2,-14.7551,26.6957,31.92,4.01,1.00
1973,3,24,11,1,42,-18.6662,24.7683,41.42,4.20,1.00
1973,3,24,19,14,22,-7.6821,22.5916,26.99,4.46,1.00
1973,3,26,6,7,23,-2.9707,23.3338,1.29,4.16,1.00
1973,3,26,6,20,31,-6.5144,25.5378,20.40,4.30,1.00
1973,3,26,10,54,46,-12.8523,28.4361,17.13,4.04,1.00
1973,4,1,18,0,12,-19.9699,20.1637,10.41,4.38,1.00
1973,4,4,6,38,16,-18.3236,21.3513,12.22,4.01,1.00
1973,4,6,16,51,29,-9.9812,28.4604,40.40,4.16,1.00
1973,4,9,5,52,30,-12.8885,29.6645,40.97,4.86,1.00
1973,4,11,2,45,8,-0.9601,20.3064,36.71,4.28,1.00
1973,4,12,20,36,46,-2.5613,23.4668,23.99,4.01,1.00
1973,4,21,2,41,21,-7.8262,22.8559,31.36,4.09,1.00
1973,4,21,17,0,40,-6.3572,26.3096,10.04,4.11,1.00
1973,4,23,22,37,19,-15.6158,20.2992,17.84,4.20,1.00
1973,4,24,8,50,12,-4.6554,22.2797,16.45,5.08,1.00
1973,4,26,10,51,15,-5.5448,24.8540,23.94,5.93,1.00
1973,4,27,2,57,51,-9.7113,23.8494,4.05,4.87,1.00
1973,5,2,22,43,46,-3.1000,24.1000,20.35,4.30,1.00
1973,5,7,23,12,9,-9.4942,27.7561,0.13,4.15,1.00
1973,5,9,16,34,40,-13.7544,25.8008,10.44,4.01,1.00
1973,5,13,6,44,39,-9.3113,24.6418,7.17,4.28,1.00
1973,5,22,19,58,7,-3.1748,26.4262,45.00,4.04,1.00
1973,5,24,12,58,42,-17.3976,20.9437,18.10,4.32,1.00
1973,5,25,2,48,19,-7.7117,22.6274,22.67,4.87,1.00
1973,5,26,8,29,34,-18.4293,21.2371,17.71,5.11,1.00
1973,5,26,17,48,52,-2.8905,20.2622,35.90,4.44,1.00
1973,5,28,1,57,37,-19.0614,25.6563,22.24,4.27,1.00
1973,5,29,9,30,54,-15.7438,20.1147,42.57,4.92,1.00
1973,5,29,9,38,8,-11.4510,29.3232,5.77,5.87,1.00
1973,5,29,21,37,45,-4.1250,22.5797,34.06,4.71,1.00
1973,5,31,14,26,36,-12.6167,25.5488,18.26,4.31,1.00
1973,6,1,1,31,6,-0.0103,20.9956,39.37,5.12,1.00
1973,6,3,22,40,23,-8.5506,26.1536,23.87,4.69,1.00
1973,6,4,4,2,31,-19.1643,25.3515,44.18,5.00,1.00
1973,6,5,22,13,55,-1.8425,25.6543,10.13,4.26,1.00
1973,6,7,13,51,37,-11.0287,25.2823,38.30,4.39,1.00
1973,6,10,8,25,20,-8.4738,27.3866,6.99,4.32,1.00
1973,6,10,10,22,21,-5.9315,26.3958,8.94,4.50,1.00
1973,6,12,2,37,39,-3.1373,23.7220,40.78,4.07,1.00
1973,6,12,12,18,55,-13.8558,21.4120,27.40,4.57,1.00
1973,6,14,9,52,52,-6.8601,20.4041,3.37,4.05,1.00
1973,6,15,20,53,32,-6.4838,21.4435,31.58,4.94,1.00
1973,6,16,23,35,19,-12.2235,23.4926,1.41,4.52,1.00
1973,6,26,15,56,0,-19.6463,27.4466,14.95,4.24,1.00
1973,6,28,15,43,28,-11.1652,27.3020,35.53,4.70,1.00
1973,6,29,7,4,29,-19.8708,22.3622,22.34,4.09,1.00
1973,7,2,19,48,4,-15.9595,28.6378,14.91,4.13,1.00
1973,7,5,22,26,6,-5.8388,26.4536,14.90,4.00,1.00
1973,7,8,11,30,53,-1.3525,20.9576,40.61,4.09,1.00
1973,7,11,6,10,37,-8.9491,26.4897,2.15,4.25,1.00
1973,7,13,14,43,52,-18.4606,22.3704,14.09,4.35,1.00
1973,7,14,10,42,1,-6.2280,23.9986,30.65,4.84,1.00
1973,7,15,16,9,11,-18.3180,26.8004,22.87,5.05,1.00
1973,7,18,7,3,17,-14.9138,22.4172,5.46,4.90,1.00
1973,7,19,23,47,15,-19.1769,28.6140,32.79,4.02,1.00
1973,7,20,9,13,38,-4.5999,24.1160,47.71,4.91,1.00
1973,8,1,11,25,4,-6.6161,24.8906,16.05,4.46,1.00
1973,8,2,8,44,34,-15.4398,21.2835,45.73,4.27,1.00
1973,8,3,9,36,41,-15.6925,21.4630,27.33,4.21,1.00
1973,8,4,5,44,34,-6.6160,25.4731,44.32,4.07,1.00
1973,8,6,1,9,35,-18.2519,29.6414,12.32,4.25,1.00
1973,8,6,14,54,35,-7.8680,22.9635,16.83,4.63,1.00
1973,8,8,14,21,34,-9.0541,28.6417,9.15,4.15,1.00
1973,8,8,19,0,4,-8.6402,26.6818,37.93,4.12,1.00
1973,8,9,9,20,46,-6.7341,25.3545,39.90,5.23,1.00
1973,8,10,20,55,51,-11.2681,26.3687,48.90,4.92,1.00
1973,8,10,23,28,44,-13.1811,22.4400,6.06,4.15,1.00
1973,8,11,19,34,0,-15.9916,29.9991,37.45,4.63,1.00
1973,8,12,10,37,56,-15.3214,27.4548,13.59,4.49,1.00
1973,8,19,11,47,34,-5.3050,25.3970,33.76,5.73,1.00
1973,8,19,20,48,44,-7.9390,25.0625,39.91,4.74,1.00
1973,8,20,22,10,48,-17.7672,20.0200,40.28,5.00,1.00
1973,8,23,19,56,57,-1.1159,23.2446,45.31,4.11,1.00
1973,8,24,2,27,37,-4.4872,24.9190,0.55,4.32,1.00
1973,8,24,13,44,14,-11.1457,29.0813,8.62,4.16,1.00
1973,8,25,17,19,43,-0.5973,24.9527,13.30,4.23,1.00
1973,8,26,3,33,46,-17.0489,21.0322,41.18,4.11,1.00
1973,8,28,21,0,44,-16.5993,23.2745,16.78,5.17,1.00
1973,8,29,2,36,32,-17.1082,28.9701,12.26,4.00,1.00
1973,8,29,6,29,6,-0.5541,21.0379,40.60,4.05,1.00
1973,8,29,21,44,48,-19.1585,29.9196,40.10,4.22,1.00
1973,8,30,17,5,53,-0.9729,20.9668,17.13,4.53,1.00
1973,8,31,21,52,16,-5.2383,20.7881,41.17,4.33,1.00
1973,9,2,1,19,44,-7.9116,25.0918,22.04,4.43,1.00
1973,9,12,4,59,51,-2.8596,22.8257,14.21,4.57,1.00
1973,9,12,10,27,48,-17.1012,24.7995,28.04,4.17,1.00
1973,9,12,13,2,21,-3.7866,20.7697,11.81,5.72,1.00
1973,9,13,8,12,38,-9.0088,26.1540,2.32,5.83,1.00
1973,9,17,13,24,10,-12.6630,26.6927,28.59,4.04,1.00
1973,9,18,15,2,15,-18.5123,22.1493,18.21,4.59,1.00
1973,9,18,20,10,7,-7.2443,25.0888,42.43,4.34,1.00
1973,9,22,11,16,1,-8.0666,26.5513,14.76,4.28,1.00
1973,9,22,17,39,44,-6.6919,26.9361,13.29,4.06,1.00
1973,9,25,21,48,22,-13.7290,28.7311,41.38,4.08,1.00
1973,9,26,3,31,17,-13.7247,20.9489,26.07,4.83,1.00
1973,9,26,12,26,6,-9.8194,26.7050,16.90,4.16,1.00
1973,9,26,13,44,46,-11.6589,26.3308,23.97,4.26,1.00
1973,9,28,20,35,55,-19.0559,27.3314,22.96,4.85,1.00
1973,10,7,4,48,29,-9.1334,28.6076,44.79,4.02,1.00
1973,10,10,1,35,26,-9.7513,26.9529,38.28,4.03,1.00
1973,10,10,3,20,5,-18.9246,24.7267,28.18,4.19,1.00
1973,10,12,11,51,50,-8.3539,22.7706,49.20,4.76,1.00
1973,10,14,12,17,53,-9.3432,20.2761,18.41,4.12,1.00
1973,10,14,18,27,54,-14.5429,20.6561,34.94,4.10,1.00
1973,10,15,3,48,12,-18.8522,29.5654,13.84,4.02,1.00
1973,10,16,4,15,8,-15.6804,24.4879,12.89,4.67,1.00
1973,10,17,14,32,37,-16.5667,28.7122,4.99,4.11,1.00
1973,10,19,17,39,57,-3.3200,25.7465,25.03,4.12,1.00
1973,10,25,21,26,56,-17.5393,24.8499,3.02,4.28,1.00
1973,11,5,0,40,19,-8.4230,23.9370,30.07,4.65,1.00
1973,11,10,12,5,59,-3.1960,20.9850,23.75,4.55,1.00
1973,11,12,22,46,46,-2.7260,21.7559,2.23,4.18,1.00
1973,11,17,11,45,6,-15.3395,24.8337,40.64,4.08,1.00
1973,11,18,7,39,38,-8.5678,23.8159,21.85,4.20,1.00
1973,11,18,14,45,59,-11.0056,29.1530,12.23,4.09,1.00
1973,11,23,13,17,57,-5.9617,25.1301,37.34,4.24,1.00
1973,11,26,12,20,26,-15.9989,27.2814,22.24,4.15,1.00
1973,11,27,0,52,59,-14.5713,20.5682,48.81,4.33,1.00
1973,11,28,5,24,31,-12.8766,28.3891,23.34,4.43,1.00
1973,11,29,7,1,53,-16.0596,25.8477,10.09,5.80,1.00
1973,12,4,15,17,51,-4.8463,20.9148,0.13,4.05,1.00
1973,12,9,18,17,7,-19.5174,28.9169,27.88,4.05,1.00
1973,12,10,18,14,8,-17.3882,25.0227,44.35,4.01,1.00
1973,12,14,18,15,22,-8.0509,27.8939,18.38,4.09,1.00
1973,12,15,22,33,8,-18.6108,22.3299,10.97,4.47,1.00
1973,12,17,14,5,12,-7.8706,24.2484,24.48,4.51,1.00
1973,12,17,18,6,11,-13.7093,20.3011,24.28,4.30,1.00
1973,12,21,23,6,48,-7.3133,23.3000,41.37,4.14,1.00
1973,12,22,18,22,4,-9.3759,24.5377,24.37,4.16,1.00
1973,12,22,18,43,58,-13.5856,28.9434,38.81,4.31,1.00
1973,12,26,7,16,3,-10.8812,20.9823,18.26,4.08,1.00
1973,12,27,4,24,53,-19.6953,26.4582,1.72,4.22,1.00
1973,12,27,17,3,57,-4.2051,20.2936,8.41,4.38,1.00
1973,12,28,1,47,39,-3.1418,23.1522,37.47,4.65,1.00
1973,12,28,2,6,35,-11.4678,20.9397,35.04,4.82,1.00
1973,12,31,10,15,34,-8.0242,28.3065,27.23,4.12,1.00
1973,12,31,13,48,2,-9.8054,29.0049,6.12,4.62,1.00
1973,12,31,20,42,49,-4.8732,20.0574,13.74,4.41,1.00
1974,1,2,3,5,48,-19.4173,28.4538,33.67,4.02,1.00
1974,1,2,18,29,1,-12.8881,25.7328,16.72,4.04,1.00
1974,1,4,16,28,24,-3.2080,25.1621,9.70,4.75,1.00
1974,1,5,10,52,49,-4.6102,25.3858,40.76,5.31,1.00
1974,1,7,17,44,19,-7.7497,21.3687,49.81,4.08,1.00
1974,1,8,10,35,39,-17.9522,28.8403,4.38,4.78,1.00
1974,1,11,10,58,5,-3.5135,20.7159,0.92,4.60,1.00
1974,1,12,2,58,14,-17.1677,26.0919,25.63,4.01,1.00
1974,1,13,7,51,8,-19.6597,29.9899,15.57,4.66,1.00
1974,1,16,16,33,45,-14.4078,25.3558,32.02,4.45,1.00
1974,1,19,21,8,58,-7.2199,26.1369,23.96,4.91,1.00
1974,1,20,3,34,21,-6.8126,22.6779,25.09,4.16,1.00
1974,1,23,23,24,8,-2.6957,21.0527,14.80,4.19,1.00
1974,1,25,5,12,47,-11.8183,27.9393,39.54,4.33,1.00
1974,1,26,13,16,9,-8.4737,29.1583,38.80,4.13,1.00
1974,2,2,8,35,26,-6.7614,22.1815,29.78,5.07,1.00
1974,2,3,12,51,25,-15.4046,20.8334,7.45,4.85,1.00
1974,2,4,19,12,50,-12.4921,28.5375,31.65,6.38,1.00
1974,2,4,20,33,42,-7.0946,24.3369,38.38,5.41,1.00
1974,2,4,23,38,32,-11.1017,22.8183,44.97,4.05,1.00
1974,2,6,18,13,16,-1.2095,21.3073,26.04,4.03,1.00
1974,2,12,2,52,38,-17.3561,21.2215,4.45,4.82,1.00
1974,2,14,8,30,44,-1.4817,22.8057,46.41,4.02,1.00
1974,2,20,22,25,46,-12.3022,27.2289,16.31,4.26,1.00
1974,2,22,13,44,8,-18.1847,24.9430,21.67,4.30,1.00
1974,2,25,23,21,36,-1.4027,22.0310,41.79,4.77,1.00
1974,2,27,0,57,50,-2.1513,22.8344,24.95,4.23,1.00
1974,3,2,2,27,20,-6.8382,26.0171,19.05,4.40,1.00
1974,3,2,3,0,36,-17.5620,26.6632,1.71,4.55,1.00
1974,3,2,17,24,37,-16.8798,24.3825,0.68,4.33,1.00
1974,3,5,2,35,9,-13.9297,21.6839,20.72,4.74,1.00
1974,3,6,3,47,19,-13.1777,27.4489,46.86,4.14,1.00
1974,3,8,7,17,55,-14.2913,25.2571,47.23,4.11,1.00
1974,3,13,6,27,58,-16.1995,21.1851,49.51,4.26,1.00
1974,3,20,10,3,16,-5.5958,23.9102,44.56,4.13,1.00
1974,3,20,20,32,12,-9.7119,29.6709,14.72,4.18,1.00
1974,3,21,6,27,55,-19.8643,25.4919,46.46,4.02,1.00
1974,3,22,14,22,25,-9.1920,22.7499,46.16,4.59,1.00
1974,3,22,15,54,48,-9.3239,25.0831,26.18,4.42,1.00
1974,3,24,1,16,23,-9.2112,22.1421,28.26,4.38,1.00
1974,3,27,16,52,11,-7.5773,27.8083,6.58,4.55,1.00
1974,3,29,19,11,53,-10.7747,20.0446,21.58,4.81,1.00
1974,3,30,18,9,36,-8.7945,22.1839,27.65,4.52,1.00
1974,3,31,6,59,10,-7.7969,24.9627,39.67,4.50,1.00
1974,4,1,1,20,26,-18.0833,25.1754,35.08,4.08,1.00
1974,4,4,8,16,19,-5.8187,22.9020,33.50,4.00,1.00
1974,4,7,9,5,30,-6.2180,20.8132,22.50,4.03,1.00
1974,4,10,11,1,57,-16.6186,20.0222,12.91,4.25,1.00
1974,4,10,13,30,0,-5.1954,23.2526,41.54,4.10,1.00
1974,4,11,14,17,26,-6.6717,22.9802,0.83,4.74,1.00
1974,4,11,22,58,30,-19.8949,27.8568,9.50,4.08,1.00
1974,4,13,8,19,45,-3.5418,22.4053,11.03,4.70,1.00
1974,4,15,12,24,54,-19.8945,20.3915,26.80,4.25,1.00
1974,4,17,19,49,17,-15.6693,23.7607,19.99,4.56,1.00
1974,4,19,4,37,23,-17.6312,25.5913,12.50,4.65,1.00
1974,4,21,20,10,54,-8.1280,22.0185,46.35,4.28,1.00
1974,4,27,12,41,18,-12.4067,24.3087,30.98,4.11,1.00
1974,4,27,20,30,48,-16.4055,24.8932,0.62,4.04,1.00
1974,4,28,16,43,23,-3.3560,22.6014,39.62,4.46,1.00
1974,4,30,10,53,45,-8.9351,26.0864,1.53,4.66,1.00
1974,5,3,14,57,54,-15.1212,29.6606,5.83,4.05,1.00
1974,5,7,23,12,40,-6.1567,20.2313,14.84,4.78,1.00
1974,5,8,5,57,47,-18.6251,24.0330,0.68,4.05,1.00
1974,5,8,20,5,29,-17.9564,20.0066,48.21,4.64,1.00
1974,5,11,18,33,24,-14.6868,26.9815,12.31,4.62,1.00
1974,5,13,7,32,1,-10.7060,22.3175,5.34,4.22,1.00
1974,5,14,3,45,43,-4.4017,24.7622,27.96,4.21,1.00
1974,5,14,14,55,48,-19.2543,24.5762,13.11,4.00,1.00
1974,5,15,3,34,57,-12.4047,24.0665,2.20,4.11,1.00
1974,5,20,19,34,29,-19.6407,28.2917,40.48,4.01,1.00
1974,5,21,2,40,41,-0.1112,20.9903,36.64,4.41,1.00
1974,5,22,14,46,51,-5.2654,22.7173,44.63,4.58,1.00
1974,5,22,16,47,2,-5.4800,24.6960,6.36,5.67,1.00
1974,5,27,0,51,35,-11.9714,23.6420,49.76,4.25,1.00
1974,5,29,2,34,54,-15.1195,24.7733,0.27,4.17,1.00
1974,5,29,23,41,41,-14.4279,22.9668,2.14,4.03,1.00
1974,6,1,18,24,39,-12.7075,24.1551,28.06,4.37,1.00
1974,6,5,21,7,33,-12.6996,29.2419,0.88,4.97,1.00
1974,6,7,4,49,21,-9.8832,27.2002,26.57,4.28,1.00
1974,6,8,0,37,16,-18.3918,29.7421,10.22,4.05,1.00
1974,6,10,22,41,25,-12.1372,28.2648,12.58,4.52,1.00
1974,6,11,9,21,9,-11.3100,22.4335,4.84,6.25,1.00
1974,6,12,13,32,4,-12.3775,21.1852,4.45,4.04,1.00
1974,6,14,5,25,49,-13.9941,24.5508,38.91,4.47,1.00
1974,6,16,10,28,58,-5.3521,24.7790,45.33,4.25,1.00
1974,6,16,17,27,44,-12.2841,23.9677,34.75,4.08,1.00
1974,6,20,2,47,36,-10.1321,22.5488,43.34,4.09,1.00
1974,6,25,0,50,37,-13.4508,21.6763,40.31,4.01,1.00
1974,6,27,0,28,21,-18.0402,26.5822,49.85,4.40,1.00
1974,7,5,5,15,29,-4.7639,20.3509,36.82,4.03,1.00
1974,7,5,23,7,16,-13.7489,26.5561,26.29,5.13,1.00
1974,7,6,13,49,58,-10.5729,27.4556,3.57,4.10,1.00
1974,7,9,20,9,24,-12.9010,26.2972,0.27,4.12,1.00
1974,7,10,2,15,3,-14.8344,24.6608,5.91,4.09,1.00
1974,7,13,11,37,6,-11.3094,27.3181,30.55,4.10,1.00
1974,7,16,4,40,56,-2.3047,20.5164,15.05,4.12,1.00
1974,7,16,15,58,44,-16.7431,28.3109,33.30,4.07,1.00
1974,7,17,23,44,18,-4.7022,25.4086,1.50,4.02,1.00
1974,7,18,4,50,30,-6.6596,24.4510,39.20,4.41,1.00
1974,7,19,5,42,31,-16.7510,27.4111,9.80,4.40,1.00
1974,7,21,13,54,11,-2.8867,21.0934,35.05,4.74,1.00
1974,7,23,12,23,58,-7.6810,27.6653,11.82,4.69,1.00
1974,7,24,1,58,56,-13.8349,23.2969,1.24,4.05,1.00
1974,7,27,2,7,50,-11.9134,29.6232,44.16,4.55,1.00
1974,7,29,4,4,47,-12.0641,20.1494,1.00,4.06,1.00
1974,7,29,14,46,46,-3.5879,25.4232,16.60,5.35,1.00
1974,7,30,10,18,10,-4.2759,21.2135,25.95,4.73,1.00
1974,8,2,21,9,27,-12.7262,24.4836,32.71,4.26,1.00
1974,8,7,15,29,19,-17.8072,27.4906,44.29,4.06,1.00
1974,8,7,22,14,24,-15.9314,20.1002,21.63,4.44,1.00
1974,8,10,0,39,41,-12.3353,21.8121,9.15,5.47,1.00
1974,8,12,5,46,13,-9.0790,26.0113,1.28,4.26,1.00
1974,8,13,0,52,34,-14.8486,26.8088,3.82,4.24,1.00
1974,8,16,11,33,27,-19.9419,29.2857,37.52,4.65,1.00
1974,8,20,22,34,3,-7.1489,22.9962,14.31,4.34,1.00
1974,8,22,4,48,11,-17.5485,26.5835,28.18,5.31,1.00
1974,8,22,22,39,27,-16.6430,25.4180,30.02,4.10,1.00
1974,8,24,3,50,45,-6.4121,27.6285,8.99,4.43,1.00
1974,8,24,4,25,40,-15.4935,23.6469,38.97,4.40,1.00
1974,8,25,23,9,26,-19.3708,24.7842,28.73,4.08,1.00
1974,8,26,1,20,17,-17.8404,25.8683,16.42,4.12,1.00
1974,8,28,12,13,23,-1.2374,25.0236,22.36,4.61,1.00
1974,8,29,10,9,50,-10.3646,20.3648,7.77,4.45,1.00
1974,8,30,3,18,36,-12.9933,26.5914,21.59,4.38,1.00
1974,8,30,18,15,17,-14.9983,22.5470,38.01,4.32,1.00
1974,9,4,6,12,56,-8.6486,26.9515,43.28,4.70,1.00
1974,9,5,22,30,57,-3.9223,26.4136,23.33,4.02,1.00
1974,9,12,14,51,1,-7.4623,22.7617,41.01,4.59,1.00
1974,9,15,9,49,15,-16.6727,21.8367,47.41,5.40,1.00
1974,9,18,16,47,14,-8.2708,27.7013,13.35,4.38,1.00
1974,9,19,4,35,5,-8.1338,23.0218,8.91,4.17,1.00
1974,9,20,1,16,9,-5.2595,23.1701,14.28,4.50,1.00
1974,9,21,7,25,48,-19.3150,28.6495,0.28,4.66,1.00
1974,9,22,20,22,14,-15.7942,23.7140,35.30,4.65,1.00
1974,9,25,10,14,3,-9.5820,25.2846,29.41,4.14,1.00
1974,9,26,4,9,24,-3.9374,23.4685,29.45,4.08,1.00
1974,9,27,3,19,10,-18.3493,24.8577,27.89,4.45,1.00
1974,9,28,4,16,45,-10.3332,28.9049,45.48,4.11,1.00
1974,9,28,8,23,47,-12.3844,23.4048,43.11,4.03,1.00
1974,9,29,1,40,57,-11.5220,21.6463,25.99,4.27,1.00
1974,9,29,17,18,6,-10.0739,28.9294,13.10,4.26,1.00
1974,9,30,0,4,12,-4.7524,21.4381,18.14,4.37,1.00
1974,10,1,4,13,19,-16.8372,20.9882,16.12,4.37,1.00
1974,10,2,8,56,5,-3.8115,25.0769,23.33,4.23,1.00
1974,10,3,17,58,37,-14.2751,28.6146,5.50,5.06,1.00
1974,10,3,20,36,53,-17.8166,26.5093,5.57,4.82,1.00
1974,10,5,14,34,28,-17.1796,20.5742,34.98,4.36,1.00
1974,10,7,7,33,49,-3.4311,25.3596,48.13,4.05,1.00
1974,10,7,14,3,19,-12.9397,29.1092,15.93,5.21,1.00
1974,10,9,14,51,13,-5.4206,23.5064,46.51,4.33,1.00
1974,10,11,20,46,16,-10.7906,24.2215,37.01,4.17,1.00
1974,10,25,2,31,27,-8.8166,26.7948,0.43,4.49,1.00
1974,11,2,9,52,8,-8.4149,28.6878,28.94,4.10,1.00
1974,11,8,15,4,24,-9.6906,21.4496,4.73,4.27,1.00
1974,11,10,11,31,2,-9.3508,27.3978,27.89,4.45,1.00
1974,11,11,18,9,0,-17.7651,21.2662,44.63,4.08,1.00
1974,11,17,19,8,41,-12.8498,21.8808,15.71,5.24,1.00
1974,11,18,13,52,6,-11.1511,26.7797,26.54,4.22,1.00
1974,11,18,18,21,15,-14.3699,21.4828,0.63,4.79,1.00
1974,11,18,22,56,14,-6.7617,23.5946,47.77,4.96,1.00
1974,11,20,17,23,40,-0.9892,21.2717,24.00,5.63,1.00
1974,11,23,11,27,34,-19.4290,21.0788,16.07,4.05,1.00
1974,11,29,7,0,9,-16.8877,22.8345,2.67,4.11,1.00
1974,11,30,11,4,58,-2.2753,20.2164,3.16,4.55,1.00
1974,12,1,20,31,5,-16.7168,23.7419,41.30,4.62,1.00
1974,12,6,22,23,11,-11.5980,26.1559,14.72,4.19,1.00
1974,12,8,3,18,1,-19.1399,23.0541,34.80,4.28,1.00
1974,12,8,15,55,54,-8.6701,22.0076,36.61,4.67,1.00
1974,12,8,18,42,58,-18.0731,25.9982,43.11,4.31,1.00
1974,12,10,9,55,8,-3.3057,25.9053,37.70,4.00,1.00
1974,12,11,21,53,35,-10.7222,29.7483,25.80,4.26,1.00
1974,12,14,5,13,49,-4.0586,25.1695,34.52,4.18,1.00
1974,12,15,13,15,4,-6.4365,26.7841,4.60,4.77,1.00
1974,12,24,9,48,9,-8.9320,23.0916,37.98,4.66,1.00
1974,12,27,21,51,13,-11.3038,23.8766,6.53,4.46,1.00
1975,1,2,2,39,51,-11.0378,26.9480,28.84,4.06,1.00
1975,1,3,1,37,45,-10.4714,21.3353,43.74,4.02,1.00
1975,1,3,22,33,30,-6.4757,25.2306,36.70,4.01,1.00
1975,1,4,16,7,15,-2.0066,21.9926,46.30,4.53,1.00
1975,1,8,14,50,24,-7.0696,21.1441,25.18,4.06,1.00
1975,1,8,17,31,20,-10.7756,23.9998,29.98,4.55,1.00
1975,1,11,19,11,48,-8.6593,22.3008,9.96,4.75,1.00
1975,1,14,14,23,57,-14.9253,29.7395,43.42,5.04,1.00
1975,1,17,7,50,48,-19.9313,27.3243,27.10,4.14,1.00
1975,1,17,13,26,26,-16.7530,22.7403,38.48,4.58,1.00
1975,1,19,2,6,37,-15.1774,27.0270,29.00,4.10,1.00
1975,1,19,6,13,38,-19.6503,22.3792,6.50,4.01,1.00
1975,1,19,20,5,46,-0.9054,22.6845,2.90,5.08,1.00
1975,1,19,21,47,51,-14.4648,25.7973,33.86,4.43,1.00
1975,1,21,23,17,3,-4.2821,20.4606,2.07,4.57,1.00
1975,1,29,2,59,1,-5.5850,26.1971,18.45,4.06,1.00
1975,1,29,23,7,51,-11.2026,22.7164,10.25,4.44,1.00
1975,2,1,17,51,40,-13.7682,21.4579,28.53,4.18,1.00
1975,2,2,19,32,51,-10.1121,24.6954,45.77,4.27,1.00
1975,2,3,9,57,12,-16.0630,24.4810,43.67,4.65,1.00
1975,2,4,11,9,6,-15.0306,26.5238,24.38,4.38,1.00
1975,2,4,11,14,44,-7.2817,27.1437,34.74,4.53,1.00
1975,2,4,17,18,34,-9.1338,26.8269,5.83,5.49,1.00
1975,2,5,1,18,16,-2.4152,20.5947,23.83,4.39,1.00
1975,2,13,17,45,28,-14.4544,22.8333,49.46,4.58,1.00
1975,2,14,4,53,37,-13.9998,21.7902,36.95,4.12,1.00
1975,2,15,1,45,27,-11.9819,29.1822,0.19,4.31,1.00
1975,2,17,0,43,6,-2.4515,21.6639,31.14,4.16,1.00
1975,2,17,14,20,55,-19.7283,28.2215,46.94,4.61,1.00
1975,2,18,23,51,49,-6.3929,20.7572,2.84,4.51,1.00
